Product,Category,Cluster_Name,Revenue_Share_Pct,Concentration_Flag,Risk_Score,Peak_Year,Recovery_Rate_Pct,YoY_Growth_Pct,Recovery_Status,Recovery_Risk_Score,Annual_Forecast_2026,Avg_Monthly_Forecast,Champion,Champion_MAPE,Quality,Planning_Tier,Priority_Score,Festival_Alert,Recommended_Action
Instant Jackfruit Payasam Mix 250g,Palada,Core Portfolio,0.0021,LOW,2,2022.0,58.4,34.3,RECOVERING,6.0,11246694.0,937224.0,XGBoost,19.76,Excellent,TIER 2 — Algorithm with Caution,3.6,YES — Prepare 6 weeks before Onam/Vishu,"SUPPORT — Recovery underway, moderate stock build"
Palada - Instant Wheat Ada Mix 250g,Palada,Core Portfolio,0.0317,LOW,2,2021.0,51.5,19.1,RECOVERING,6.0,11246694.0,937224.0,XGBoost,19.76,Excellent,TIER 2 — Algorithm with Caution,3.6,YES — Prepare 6 weeks before Onam/Vishu,"SUPPORT — Recovery underway, moderate stock build"
Biriyani Ghee 1 Ltr Pet,Ghee,Core Portfolio,0.0691,LOW,2,2023.0,55.9,45.9,RECOVERING,6.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 2 — Algorithm with Caution,3.6,YES — Prepare 6 weeks before Onam/Vishu,"SUPPORT — Recovery underway, moderate stock build"
Uht Toned Milk 1000 Ml (Tetra Pack),UHT Milk,Core Portfolio,0.029,LOW,2,2022.0,88.8,464.5,RECOVERING,6.0,3609178.0,300765.0,Prophet,133.07,Poor,TIER 3 — Manual Planning Required,3.6,No,"SUPPORT — Recovery underway, moderate stock build"
Instant Paneer Butter Masala Mix-270g,Instant Mixes,Core Portfolio,0.0221,LOW,2,2023.0,54.1,30.1,RECOVERING,6.0,1254201.0,104517.0,XGBoost,76.52,Poor,TIER 3 — Manual Planning Required,3.6,No,"SUPPORT — Recovery underway, moderate stock build"
Uht Milk 500ml,UHT Milk,Core Portfolio,0.8807,LOW,3,,100.0,,NEW_SKU,3.0,3609178.0,300765.0,Prophet,133.07,Poor,TIER 3 — Manual Planning Required,3.0,No,"MANUAL PLAN — Forecast unreliable, expert review needed"
Desi Cooking Butter 500gm(Carton),Butter,Core Portfolio,0.6803,LOW,3,2025.0,100.0,37.5,GROWING,2.0,49803490.0,4150291.0,XGBoost,27.49,Acceptable,TIER 1 — Algorithm Driven,2.6,No,"GROW — Strong growth, increase stock allocation"
Butter Bulk 20kg,Butter,Core Portfolio,0.5572,LOW,3,2025.0,100.0,603.8,GROWING,2.0,49803490.0,4150291.0,XGBoost,27.49,Acceptable,TIER 1 — Algorithm Driven,2.6,No,"GROW — Strong growth, increase stock allocation"
Day To Day Dairy Whitener - 1 Kg,Milk Powder,Core Portfolio,0.0007,LOW,2,,100.0,,NEW_SKU,3.0,5258921.0,438243.0,XGBoost,206.46,Poor,TIER 3 — Manual Planning Required,2.4,No,"MANUAL PLAN — Forecast unreliable, expert review needed"
Instant Semiya Mix 250gm,Palada,Festival Rockets,0.4376,LOW,2,2024.0,15.3,-84.7,STABLE,3.0,11246694.0,937224.0,XGBoost,19.76,Excellent,TIER 1 — Algorithm Driven,2.4,YES — Prepare 6 weeks before Onam/Vishu,SURGE PREP — Build safety stock pre-Onam and Vishu
Instant Ghee Upma,Instant Mixes,Core Portfolio,0.0207,LOW,2,,100.0,,NEW_SKU,3.0,1254201.0,104517.0,XGBoost,76.52,Poor,TIER 3 — Manual Planning Required,2.4,No,"MANUAL PLAN — Forecast unreliable, expert review needed"
Day To Day Dairy Whitener - 10 Kg Bag,Milk Powder,Core Portfolio,0.0007,LOW,2,,100.0,,NEW_SKU,3.0,5258921.0,438243.0,XGBoost,206.46,Poor,TIER 3 — Manual Planning Required,2.4,No,"MANUAL PLAN — Forecast unreliable, expert review needed"
Ready To Drink Palada 400g,Palada,Core Portfolio,0.0356,LOW,2,,100.0,,NEW_SKU,3.0,11246694.0,937224.0,XGBoost,19.76,Excellent,TIER 1 — Algorithm Driven,2.4,YES — Prepare 6 weeks before Onam/Vishu,"MAINTAIN — Standard replenishment, monthly review"
Palada Pradhaman 200g,Palada,Core Portfolio,0.1267,LOW,2,2023.0,95.6,24.9,STABLE,3.0,11246694.0,937224.0,XGBoost,19.76,Excellent,TIER 1 — Algorithm Driven,2.4,YES — Prepare 6 weeks before Onam/Vishu,"MAINTAIN — Standard replenishment, monthly review"
Uht Toned Milk 500 Ml (Tetra Pack),UHT Milk,Core Portfolio,0.0054,LOW,2,,100.0,,NEW_SKU,3.0,3609178.0,300765.0,Prophet,133.07,Poor,TIER 3 — Manual Planning Required,2.4,No,"MANUAL PLAN — Forecast unreliable, expert review needed"
Instant Butter Idiyappam,Instant Mixes,Core Portfolio,0.0416,LOW,2,,100.0,,NEW_SKU,3.0,1254201.0,104517.0,XGBoost,76.52,Poor,TIER 3 — Manual Planning Required,2.4,No,"MANUAL PLAN — Forecast unreliable, expert review needed"
Instant Pulissery Mix - 100g,Instant Mixes,Core Portfolio,0.002,LOW,2,,100.0,,NEW_SKU,3.0,1254201.0,104517.0,XGBoost,76.52,Poor,TIER 3 — Manual Planning Required,2.4,No,"MANUAL PLAN — Forecast unreliable, expert review needed"
Ghee 2 Ltr Tin,Ghee,Core Portfolio,0.0465,LOW,2,,100.0,,NEW_SKU,3.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 1 — Algorithm Driven,2.4,YES — Prepare 6 weeks before Onam/Vishu,"MAINTAIN — Standard replenishment, monthly review"
Desi Cooking Butter 200g(Tub),Butter,Core Portfolio,0.1915,LOW,2,2025.0,100.0,15.5,STABLE,3.0,49803490.0,4150291.0,XGBoost,27.49,Acceptable,TIER 1 — Algorithm Driven,2.4,No,"MAINTAIN — Standard replenishment, monthly review"
Day To Day Dairy Whitener - 900 G,Milk Powder,Core Portfolio,0.0211,LOW,2,,100.0,,NEW_SKU,3.0,5258921.0,438243.0,XGBoost,206.46,Poor,TIER 3 — Manual Planning Required,2.4,No,"MANUAL PLAN — Forecast unreliable, expert review needed"
Biriyani Ghee 200ml Pet,Ghee,Core Portfolio,0.12,LOW,2,2024.0,86.8,-13.2,GROWING,2.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 1 — Algorithm Driven,2.0,YES — Prepare 6 weeks before Onam/Vishu,"MAINTAIN — Standard replenishment, monthly review"
Biriyani Ghee 500ml Pet,Ghee,Core Portfolio,0.1714,LOW,2,2024.0,81.1,-18.9,GROWING,2.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 1 — Algorithm Driven,2.0,YES — Prepare 6 weeks before Onam/Vishu,"MAINTAIN — Standard replenishment, monthly review"
Biriyani Ghee 100ml Pet,Ghee,Core Portfolio,0.1001,LOW,2,2025.0,100.0,16.5,GROWING,2.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 1 — Algorithm Driven,2.0,YES — Prepare 6 weeks before Onam/Vishu,"MAINTAIN — Standard replenishment, monthly review"
Day To Day Dairy Whitener - 500 G,Milk Powder,Core Portfolio,0.3197,LOW,2,2025.0,100.0,78.0,GROWING,2.0,5258921.0,438243.0,XGBoost,206.46,Poor,TIER 3 — Manual Planning Required,2.0,No,"MANUAL PLAN — Forecast unreliable, expert review needed"
Desi Cooking Butter 50g(Tub),Butter,Core Portfolio,0.0013,LOW,2,2025.0,100.0,0.0,GROWING,2.0,49803490.0,4150291.0,XGBoost,27.49,Acceptable,TIER 1 — Algorithm Driven,2.0,No,"MAINTAIN — Standard replenishment, monthly review"
Day To Day Dairy Whitener - 200 G,Milk Powder,Core Portfolio,0.2205,LOW,2,2025.0,100.0,134.3,GROWING,2.0,5258921.0,438243.0,XGBoost,206.46,Poor,TIER 3 — Manual Planning Required,2.0,No,"MANUAL PLAN — Forecast unreliable, expert review needed"
Desi Cooking Butter 100gm(Tub),Butter,Core Portfolio,0.3698,LOW,2,2025.0,100.0,37.4,GROWING,2.0,49803490.0,4150291.0,XGBoost,27.49,Acceptable,TIER 1 — Algorithm Driven,2.0,No,"GROW — Strong growth, increase stock allocation"
Day To Day Dairy Whitener - 20 G,Milk Powder,Core Portfolio,0.0404,LOW,2,2025.0,100.0,0.0,GROWING,2.0,5258921.0,438243.0,XGBoost,206.46,Poor,TIER 3 — Manual Planning Required,2.0,No,"MANUAL PLAN — Forecast unreliable, expert review needed"
